pid_l,pid_r
501030320150089,503070620150222
501130920200207,707080920200469
501120120210238,405150120210115
501120120210238,705031120210147
501120720180375,409112720180120
705070720160163,711081120161432
705011420160149,715030120160475
705040120150011,809030320150052
705012720200159,711072120200089
705040320220098,817032120220089
605192320150130,603232320150059
605012720220156,707011320220161
605130320200185,817011520200140
605172120220030,403173920220097
605050120220125,809091520220062
509011120160070,701291720160507
813111720190117,813111720190163
511013720200049,103052520200008
715150320160077,713070120160210
711030120150244,805011120150419
813050920160069,805010920160159
813051420170467,816072320170221
813190520170163,711010720170042
813051420190282,511020720190216
813250520160032,711034920160803
711071120174634,401012120170226
819093020180018,819093020180079
711081120171869,805170920170324
711054920160075,819030920160165
711034920160531,803110320160008
711040720170024,707050320170259
711070920173341,816120320170268
711071120182712,401475920180078
711072120190417,805191920190120
711070120170349,715071520170189
813090620150075,805172920150347
813250320150064,713013720150416
813041020180067,401377520180084
813130720160167,711034920160650
813150920180248,813112720180050
707050120180268,711080720180418
707030320180050,819031920180061
707080920190302,409132920190013
707080920190526,707080920190244
805170120200185,819112520200027
805170120200185,711071920200210
805170720160149,701291520160067
103052520220138,215173520220051
103132920220172,211114320220028
103213320220075,403296120220117
821091220170003,823111520170097
821071320180146,713121720180253
821050520160070,823130620160016
821050320180159,819131120180331
821031520160054,701371120160192
821032520190220,807133120190050
821040920170268,711071520170427
821050420170183,819121820170183
101210720190273,221072120190468
106091120190142,106091120190039
816053020210125,819030320210033
816112520170297,605013920170474
816111620190020,815070120190343
221072120190468,101210720190273
221011920200152,807072120200097
101416620180188,101416620180257
109062320180126,101080520180310
701371120170125,711070120170148
405173320180102,803111920180165
405201120170109,401496920170107
701330720160026,807110720160175
807070120180155,801090920180026
807092520150221,711030120150588
801172520160168,817031120160227
807071320170254,111031520170383
701250720180261,505212520180001
817150720180011,505054720180266
817032020180153,711080520181155
807133120170075,816120820170139
807092120150054,823111520150109
807111920190129,713172320190364
807092520200080,807092520200046
701131520220047,605191120220047
701311320160086,709150920160042
701371120150271,805110920150093
803110920160128,711034720160730
803191920210044,101110120210158
803012120180093,813171120190175
819061320180090,713103520180163
803212320170136,803130920170410
813070920170267,813070920170384
505050120150056,701191320150030
503250120210299,104060320210175
803210120220062,809030720220055
803130920210204,811032520210044
809080320170148,809080320170202
803111720200156,803111720200068
803091920210110,221054320210148
803011520220099,225061920220110
803210720220090,511013720220085
803191320170150,819011120170246
505054520220010,403172520220021
819122120150033,701353920150028
819070320160149,711053720160152
819061120170225,819061120170070
819150120160251,809082520160089
709171920220080,101250320220162
709171520190808,805170720190347
709171520180841,819070320180186
10113092016101909,103117120160150
405171920170258,601071720170140
405135720180006,605191920180003
401475920180078,711071120182712
701190120160128,511050120160133
709112320160133,711071120161320
709170420170200,701390320170794
709031120160094,711100520160193
709171520190159,805070720190024
215172920160011,409053720160058
401474320190035,711071120192375
401313920190063,403296120190063
401439320210119,701230420210334
107092320170138,101031320170626
701131120220132,511010920220085
701231920170236,411051120170091
701330920220028,407032920220019
701351920210517,101392520210248
807051320220021,803070920220051
807051520200077,807051520200039
801172720210115,511030120210318
701030920150385,505010920150150
101081320200735,819072720200211
401412120180038,101140520180342
817160720190114,816030820190118
817011120180200,817011120180067
817011120180200,817050120180028
817131320200176,805191520200137
817112320170091,821050920170053
701330520160408,711081120161059
701393720171318,715090220170344
217050320210001,403316920210002
701392320160857,603250820160182
701331520170970,505211720170067
701231320160352,819130120160385
809052520190106,815013920190715
809032520190250,815014120190702
809011720220017,805172920220018
809051120190050,103051320190276
809132320190019,817091520190157
809071920160157,411071120160276
809032720190173,511012420190914
809011120180009,801270120180038
809132920180075,813210920180069
809050920220006,815050920220043
809032520150201,817160720150131
809110720190047,803030320190359
809071320180066,813110520180051
809132520150039,701330520150265
809052320180033,701152720180137
809091120160075,701130520160176
701401920150234,807070920150017
701270920150010,701230320150139
701270920150010,715150120150024
821061520180310,823131320180069
103051120170336,106011020170174
811160920220077,801172120220068
816052520180189,713090520180261
711041320170276,115151520170041
817111720200184,817111720210153
607012120160110,505052720160031
607010720200059,221010820200049
607010720160425,701212720160117
607191920190016,103112920190038
205010920220140,213070720220017
205010520210374,101531720210194
805052320170187,805111320170453
823132020200110,707120220200111
701250720200175,511012320200239
823111020150113,713170720150262
707020920190130,605071120190249
715110320220049,503090720220041
715032120150086,801171920150149
801211520150038,805030420150108
113151920190280,101541720190057
815014120171867,823101020170107
815072920170035,809091720170015
815072920170035,701151120170091
815053320190166,405123920190061
815110520160098,713013920162181
815053120180440,816031220180130
403251320190087,709031320190100
605231920220071,701333720220159
717011920160358,601131320160140
605012520190524,809131520190102
605190120150014,701251720150029
605013320180359,605240720180385
605050520190027,813112320190111
605012520180824,711053320180741
403211320170134,711072120171571
711041120190179,807131720190187
403172520220003,817071720220003
511024320160074,511024320160097
509101420200088,711071920200440
815090120150295,707072220150083
815053320200112,819031720200050
815130420160002,711030120160407
815012720190345,805191320190106
815050920180125,817031520180187
815050520210309,809111320210079
113074520190107,113074520190089
403290420220034,401516520220029
403250320220158,411133520220089
403178120220059,717122420220243
705031120210147,501120120210238
705040720200228,705040719850056
707071720190158,713132120190508
707071720190158,705070920190019
705070920160223,713015520160915
605192520170157,605192120170171
605071520220136,501131020220151
605071520220136,501131020220150
101541320210533,107233720210153
101250320210501,405012120210163
101251720170367,107091320170167
813251120180392,813190520180396
711072120171571,403211320170134
711100820220052,211071620220051
711100820220052,403381520220145
711071120192709,403250520190082
711080120210628,403330920210195
711034120180194,811092120180194
711054920200143,813070520200070
711072920170623,717050120170542
711071120172629,713013520171727
711040420220023,509091020220052
711021320160124,715072920160028
711080520201526,711080520201388
711053720171698,813130720170164
711070920150908,809110920150067
711034120170212,803050720170155
819060720170211,821051120170251
711030120150588,807092520150221
711071120182875,821041420180079
813071320180136,807113520180072
813211120190111,605011320190203
711050120190280,817110720190082
711100520180387,711100520180413
711030120211099,104100720210125
711054020171188,819111120170141
817031720190140,817031720190247
711054020160809,807111320160153
823071920150079,815151120150224
823030820220055,805170120220025
823110720180250,823110720180112
823012120170195,701393120170061
715030320170054,701250720170636
715011720190196,701050720190131
715031720190335,711080120191940
711072120171839,401272120170211
711020120150341,603232120150105
711020120150341,505230120150007
711050520170566,813191520170084
813191320190089,813050520190383
711041320190197,805051120190480
711012020170081,819081920170050
711030120151067,813171020150098
711070920161026,803112120160068
711034920160650,813130720160167
821051720190004,821051720190125
711035120190114,805071120190261
813112720180050,813150920180248
711081120190887,713030720190131
711071120183608,405120320180102
711071120193006,407010120190073
711071120184532,713032120180227
813111220180003,813111220180135
711030120162204,803111120160038
117133320210002,801153320210004
403336520190183,103051120190283
403192520180111,607191520180042
705070920160158,701401920160828
701393720181028,713014920180766
701393720181028,803090920180246
701393720180902,819091320180691
815092820170249,815092820170163
405114320190057,711070520190911
405194320220016,711041120220042
405192120220054,106054520220083
405154920180054,713170120180261
405154920180054,713012320180938
405012120210163,101250320210501
401233520170115,101130520170560
411031320190206,713152520190478
701392720180411,817071720180242
807130920170175,815011520170277
807130920160108,801030920160067
103052120220031,411091920220036
103130120220078,113192720220109
103052720220096,715020520220023
103032120210264,805071020210109
103071820220090,115077720220019
103031320220055,221050920220045
103171520220082,701352320220106
103115720220092,605110320220043
103090520220023,401011820220112
103090520220023,225061120220037
103050320220071,115050120220082
103030520220117,709030720220106
103052720220229,107111920220082
103143720220220,101140720220165
103191520220038,101530320220072
103052120220107,106011520220128
103150720220072,823070120220074
103070720210112,215031120210067
103212520220058,115073720220040
103050720220104,813112720220052
103211920180081,701370920180159
107114120190044,103116720190062
401194120180193,401194120180097
817032120220089,705040320220098
817030920180435,817030920180037
817071920180078,803191120180194
817071720190156,711034520190916
817050520180087,605130320180360
817110320170143,707071720170460
817051920180049,701401820180371
701230420160182,109093120160030
701291520160067,805170720160149
701290520170058,711071920170192
107170920200028,713014320200481
107032720200158,709051720200140
103211120220060,101532920220099
103172320220059,111113520220045
713104720210796,101140320210190
713033520210127,815014120210567
813040220190139,713052320190172
713171520220024,104070720220014
713012320180569,701031520180192
803150520180208,803150520180085
803030720170045,713101920170020
803130120150007,801092120150105
803170720160198,815092820160443
803111520160015,715051320160034
803150920170143,805150920170240
803050720180139,801032120180107
803150320160009,807010120160273
803011120180083,803011120180013
803030320170097,701392320170390
701153120180633,701153120180309
701153120180633,819131120180397
803210920150118,701290120150108
803010520180133,817030320180186
803011120180203,711070720181240
803050320190134,816090520190052
803010120160202,805010120160246
505090720170467,819031720170185
701170520170800,603030120170339
409130720180121,701272920181039
409050120170455,603072320170270
409050120170455,501050720170532
409113320190002,713014920190202
503092520180027,501130120180048
405052720180042,713152520180611
405191320180127,711071120183562
411091120150021,803050120150011
411091320170193,713015420170623
807091520200151,809131920200151
807113720190191,813090320190181
807151720160182,717090720161009
807074720200123,815133220200163
505232320170277,505230520170259
101080520180310,109062320180126
302172120200097,701230120200609
701192520150179,713032920150145
701010520160281,801252920160174
701252120170493,607091120170211
701272320160040,701252320160031
701272320160040,711034520160600
401030520140060,717091520140162
115111920200143,109130920200107
115075720170105,103132920170826
101072320200128,109110120200052
215031120210067,103070720210112
207121920210029,103143920210199
107013820180185,111074520180171
107054120150004,701310720150119
401354520190116,713011720191269
107010920210170,701331520210946
821011220140264,819150920140094
103131920200173,104032320200099
811113520180103,813211120180474
807130320170159,807130320170208
803172520180303,803172520180254
507051920170328,803110720170436
801271520170193,713170720170335
707090120180245,707110120180189
816021320160155,816021320160114
816070320190007,821091620190016
816120920180023,803170320180001
811051720170148,803111320170322
811160220170180,701170320171335
811150120220045,809091320220033
109012320160088,107012920160050
809032720170153,711054920170873
711070520150186,715150320150244
605031120210042,701250320210134
605013120200086,505093320200091
605240320200126,606111520200140
509122920160070,701282820160598
509050320160030,817111120160165
509012920170071,705011520170179
509010120190045,823131320190178
607131520180088,607131520180138
606340420170118,605190920170005
403350120180220,403350120180122
217182920210143,217182920210076
217073320220026,113174720220015
217030720220057,411131120220042
217050920220030,701231920220197
217052620220018,813010820220082
407095320160048,701402420160929
713030720220006,701171920220016
713104720161489,715150520160082
713153120170511,809010920170299
805071320190027,819082920190247
805111720160337,711054020160163
717051120190076,805111320190204
805110120200046,411070720190133
805011120170279,813300520170117
805070720200107,711071920200322
805011920160316,701171920160259
805111120200484,809112120200161
805010320170194,803030320170038
805171920170266,711071120173130
805172120170152,711070920173640
805111320200144,817160420200079
805170320170233,823010120170254
607071720210247,705070920210256
607112320180023,707080920180304
607191620150028,606210520150122
607191320150023,713051120150052
607191120200057,103211720200092
101252320170869,107012520170337
401410920190094,115093720190057
803051320170287,711054020171194
803110720150124,805170920150193
803171920190006,713170920190177
819061320190071,711034520190691
803091720170095,603191320170109
803111520210031,813051320210032
803051720150244,805211920150171
803051720150244,711071120151778
225061120180078,101130120180008
225032320220054,101331520220043
225010520220053,101234920220274
603110620180045,701330320180301
711035320150483,511013120150117
711054920180373,603031720180016
