pid_l,pid_r
805030620150219,805210220150064
115091920210094,115113920210098
101415920210125,815650320210105
221152720210012,221154720210046
109063320210084,113195920210069
201070120180184,201070120180185
103194520150075,107053720150069
225121120160040,713122120160344
106011320170272,813190120170127
101080120160604,10108132016109771
1010725201614599,221172520160225
113051920170211,113091920170209
225051720150054,225252920150061
101491720210076,101491720210084
815074320190013,815074320190049
701282820150255,707030320150145
403112120210228,403295720210166
103192520220025,113174120220034
403231320210121,403332920210032
107033320190144,117154120190165
225210720160104,225253320160200
103112520210193,113051120210055
109011720150197,109062520150077
115077320170091,115114120170150
713011520160233,713011920160083
101174720200149,211091120200031
709112320180352,715071520180394
603060520190049,605240320190062
103190120200269,117072320200176
101195720200137,225061720200069
103030320160338,713012320162844
606340520160174,607151520160262
101410920140015,103143720140046
407030920200025,701230520200190
113154120160090,701252320160218
101191920180070,104020320180049
405151720170137,709171720170387
101515320210086,221090920210086
103051320200211,503090720200147
225061220210023,401192920210045
103100720210026,221092520210015
701353920200112,801250320200139
711080120172567,813070120170441
106071520220030,109062320220030
113170520200060,711010120200111
213012620190003,715030720190017
603060520190049,607110520190098
111052720210096,405192320210152
603011720190121,603060520190049
115011520210057,205112920210046
101072120210158,201150520210080
101373120200724,507190920200224
